SELECT * WHERE {?a0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?C6.
  ?a0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?C8. 
  ?C1 <http://www.w3.org/2002/07/owl#disjointWith> ?C9. 
  ?C4 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C5.
  ?C7 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C0.
  ?C6 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C7. 
  ?C8 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C4. 
  ?C5 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C2. 
  ?C3 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C9.
  ?C2 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C3. 
  ?C0 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C1. }
a0,C6,C8,C1,C9,C4,C5,C7,C0,C2,C3
http://dbpedia.org/resource/P._Surya_Prakash,http://dbpedia.org/ontology/ChristianBishop,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/resource/Roman_Catholic_Diocese_of_Lugo,http://dbpedia.org/ontology/School,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/resource/Roman_Catholic_Diocese_of_Lucera–Troia,http://dbpedia.org/ontology/School,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/resource/Roman_Catholic_Diocese_of_Nitra,http://dbpedia.org/ontology/SoccerClub,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/SportsTeam,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/resource/Roman_Catholic_Diocese_of_Pozzuoli,http://dbpedia.org/ontology/School,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/resource/Roman_Catholic_Diocese_of_Tarazona,http://dbpedia.org/ontology/School,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/resource/Metropolis_of_Bessarabia,http://dbpedia.org/ontology/ChristianBishop,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/resource/Roman_Catholic_Diocese_of_Ozieri,http://dbpedia.org/ontology/School,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/resource/Henry_Mackenzie_(bishop),http://dbpedia.org/ontology/ChristianBishop,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/resource/Dimitrije_Mladenović,http://dbpedia.org/ontology/ChristianBishop,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/resource/Stephen_Keeler,http://dbpedia.org/ontology/ChristianBishop,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/resource/Gone_Benjamin_Devasahayam,http://dbpedia.org/ontology/ChristianBishop,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/resource/Solomon_Doraiswamy,http://dbpedia.org/ontology/ChristianBishop,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/resource/Sanki_John_Theodore,http://dbpedia.org/ontology/ChristianBishop,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/resource/Isaiah_Jesudason,http://dbpedia.org/ontology/ChristianBishop,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/resource/Richard_Inwood,http://dbpedia.org/ontology/ChristianBishop,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
http://dbpedia.org/resource/Ogé_Beauvoir,http://dbpedia.org/ontology/ChristianBishop,http://dbpedia.org/ontology/Diocese,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/ClericalAdministrativeRegion,http://dbpedia.org/ontology/AdministrativeRegion,http://dbpedia.org/ontology/Cleric,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Region,http://dbpedia.org/ontology/PopulatedPlace
