SELECT * WHERE {?C1 <http://www.w3.org/2002/07/owl#disjointWith> ?C5.
  ?a0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?C2.
  ?a0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?C3.
  ?C4 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C5.
  ?C0 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C1.
  ?C2 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C0. 
  ?C3 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C4. }
C1,C5,a0,C2,C3,C4,C0
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Peter_DeRose,http://dbpedia.org/ontology/Artist,http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Person
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Achaea,http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/Organisation
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Department_of_Public_Works_(Queensland),http://dbpedia.org/ontology/GovernmentAgency,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/Organisation
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Oklahoma_Senate,http://dbpedia.org/ontology/Legislature,http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Organisation
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Radaan_Mediaworks,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Organisation
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Reading_School_District,http://dbpedia.org/ontology/EducationalInstitution,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/Organisation
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Seanad_Éireann,http://dbpedia.org/ontology/Legislature,http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Organisation
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Steve_Scalise,http://dbpedia.org/ontology/OfficeHolder,http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Person
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Albert_Johnson_(jockey),http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Person
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/AIK_IF,http://dbpedia.org/ontology/SportsTeam,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/Organisation
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Earl_Sande,http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Person
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/J._D._Lawrence,http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Person
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Somerton_Park,http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Venue,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Person
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Balboa_Stadium,http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Venue,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Person
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/Irish_Guards,http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Building,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Organisation
http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/resource/BBC_Sport,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Settlement,http://dbpedia.org/ontology/PopulatedPlace,http://dbpedia.org/ontology/Organisation
