SELECT * WHERE {?C3 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C4.
  ?C8 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C9.
  ?C6 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C2.
  ?C1 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C7.
  ?C0 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C1.
  ?C2 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C3.
  ?C7 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C8.
  ?C4 <http://www.w3.org/2000/01/rdf-schema#subClassOf> ?C5.
  ?C5 <http://www.w3.org/2002/07/owl#disjointWith> ?C9.
  ?a0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?C0.
  ?a0 <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?C6. }
C3,C4,C8,C9,C6,C2,C1,C7,C0,C5,a0
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/MotorcycleRider,http://dbpedia.org/ontology/MotorsportRacer,http://dbpedia.org/ontology/RouteOfTransportation,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/Road,http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Freddie_Frith
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/MotorcycleRider,http://dbpedia.org/ontology/MotorsportRacer,http://dbpedia.org/ontology/RouteOfTransportation,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/Road,http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Hans_Georg_Anscheidt
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/MotorcycleRider,http://dbpedia.org/ontology/MotorsportRacer,http://dbpedia.org/ontology/RouteOfTransportation,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/Road,http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Hugh_Anderson_(motorcyclist)
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/MotorcycleRider,http://dbpedia.org/ontology/MotorsportRacer,http://dbpedia.org/ontology/RouteOfTransportation,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/Road,http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Luca_Cadalora
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/MotorcycleRider,http://dbpedia.org/ontology/MotorsportRacer,http://dbpedia.org/ontology/RouteOfTransportation,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/Road,http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Manuel_Poggiali
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/MotorcycleRider,http://dbpedia.org/ontology/MotorsportRacer,http://dbpedia.org/ontology/RouteOfTransportation,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/Road,http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Mick_Doohan
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/RacingDriver,http://dbpedia.org/ontology/MotorsportRacer,http://dbpedia.org/ontology/RouteOfTransportation,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/Road,http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Elliott_Forbes-Robinson
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/RacingDriver,http://dbpedia.org/ontology/MotorsportRacer,http://dbpedia.org/ontology/RaceTrack,http://dbpedia.org/ontology/SportFacility,http://dbpedia.org/ontology/Racecourse,http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Ffos_Las_racecourse
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/IceHockeyPlayer,http://dbpedia.org/ontology/WinterSportPlayer,http://dbpedia.org/ontology/RouteOfTransportation,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/Road,http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Gord_Lane
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/IceHockeyPlayer,http://dbpedia.org/ontology/WinterSportPlayer,http://dbpedia.org/ontology/RouteOfTransportation,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/Road,http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Foundation_for_Art_and_Creative_Technology
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/NaturalPlace,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/AmericanFootballPlayer,http://dbpedia.org/ontology/GridironFootballPlayer,http://dbpedia.org/ontology/Stream,http://dbpedia.org/ontology/BodyOfWater,http://dbpedia.org/ontology/River,http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Incomappleux_River
http://dbpedia.org/ontology/Athlete,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/ArchitecturalStructure,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/MotorcycleRider,http://dbpedia.org/ontology/MotorsportRacer,http://dbpedia.org/ontology/RouteOfTransportation,http://dbpedia.org/ontology/Infrastructure,http://dbpedia.org/ontology/Road,http://dbpedia.org/ontology/Agent,http://dbpedia.org/resource/Reg_Pridmore
