prefix rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
prefix rdfs: <http://www.w3.org/2000/01/rdf-schema#>
prefix owl: <http://www.w3.org/2002/07/owl#>
select * where {
?a0 rdf:type ?C0.
?C4 owl:disjointWith ?C5.
?p0 rdfs:range ?C1.
?C0 rdfs:subClassOf ?C2.
?C2 rdfs:subClassOf ?C3.
?C1 rdfs:subClassOf ?C5.
?C3 rdfs:subClassOf ?C4.
?a0 ?p0 ?a1.
}
a0,C0,C4,C5,p0,C1,C2,C3,a1
http://dbpedia.org/resource/Hyzon_Motors,http://purl.org/holy/ns#ManufacturingOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://www.w3.org/2004/02/skos/core#altLabel,https://w3id.org/mod#SemanticArtefact,http://www.w3.org/ns/regorg#RegisteredOrganization,http://www.w3.org/ns/org#FormalOrganization,Hyzon Motors Inc
http://dbpedia.org/resource/Van_Hool,http://purl.org/holy/ns#ManufacturingOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://www.w3.org/2004/02/skos/core#altLabel,https://w3id.org/mod#SemanticArtefact,http://www.w3.org/ns/regorg#RegisteredOrganization,http://www.w3.org/ns/org#FormalOrganization,Vanhool
http://dbpedia.org/resource/Plug_Power,http://purl.org/holy/ns#ManufacturingOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://www.w3.org/2004/02/skos/core#altLabel,https://w3id.org/mod#SemanticArtefact,http://www.w3.org/ns/regorg#RegisteredOrganization,http://www.w3.org/ns/org#FormalOrganization,PLUG
http://dbpedia.org/resource/Plug_Power,http://purl.org/holy/ns#ManufacturingOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://www.w3.org/2004/02/skos/core#altLabel,https://w3id.org/mod#SemanticArtefact,http://www.w3.org/ns/regorg#RegisteredOrganization,http://www.w3.org/ns/org#FormalOrganization,Plug Power
http://dbpedia.org/resource/EvoBus,http://purl.org/holy/ns#ManufacturingOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://www.w3.org/2004/02/skos/core#altLabel,https://w3id.org/mod#SemanticArtefact,http://www.w3.org/ns/regorg#RegisteredOrganization,http://www.w3.org/ns/org#FormalOrganization,EvoBus GmbH
http://dbpedia.org/resource/Ballard_Power_Systems,http://purl.org/holy/ns#ManufacturingOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://www.w3.org/2004/02/skos/core#altLabel,https://w3id.org/mod#SemanticArtefact,http://www.w3.org/ns/regorg#RegisteredOrganization,http://www.w3.org/ns/org#FormalOrganization,Ballard_Power
http://dbpedia.org/resource/Ballard_Power_Systems,http://purl.org/holy/ns#ManufacturingOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://www.w3.org/2004/02/skos/core#altLabel,https://w3id.org/mod#SemanticArtefact,http://www.w3.org/ns/regorg#RegisteredOrganization,http://www.w3.org/ns/org#FormalOrganization,Ballard_Power_Systems_Inc.
http://dbpedia.org/resource/Ballard_Power_Systems,http://purl.org/holy/ns#ManufacturingOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://www.w3.org/2004/02/skos/core#altLabel,https://w3id.org/mod#SemanticArtefact,http://www.w3.org/ns/regorg#RegisteredOrganization,http://www.w3.org/ns/org#FormalOrganization,Ballard_Power_Systems_Inc.
http://dbpedia.org/resource/FuelCell_Energy,http://purl.org/holy/ns#ManufacturingOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://www.w3.org/2004/02/skos/core#altLabel,https://w3id.org/mod#SemanticArtefact,http://www.w3.org/ns/regorg#RegisteredOrganization,http://www.w3.org/ns/org#FormalOrganization,FuelCell Energy Inc.
http://dbpedia.org/resource/FuelCell_Energy,http://purl.org/holy/ns#ManufacturingOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://www.w3.org/2004/02/skos/core#altLabel,https://w3id.org/mod#SemanticArtefact,http://www.w3.org/ns/regorg#RegisteredOrganization,http://www.w3.org/ns/org#FormalOrganization,FCEL
http://dbpedia.org/resource/FuelCell_Energy,http://purl.org/holy/ns#ManufacturingOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://www.w3.org/2004/02/skos/core#altLabel,https://w3id.org/mod#SemanticArtefact,http://www.w3.org/ns/regorg#RegisteredOrganization,http://www.w3.org/ns/org#FormalOrganization,Fuelcell Energy Inc
http://dbpedia.org/resource/FuelCell_Energy,http://purl.org/holy/ns#ManufacturingOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://www.w3.org/2004/02/skos/core#altLabel,https://w3id.org/mod#SemanticArtefact,http://www.w3.org/ns/regorg#RegisteredOrganization,http://www.w3.org/ns/org#FormalOrganization,FuelCell_Energy
http://dbpedia.org/resource/Linde_plc,http://purl.org/holy/ns#ManufacturingOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://www.w3.org/2004/02/skos/core#altLabel,https://w3id.org/mod#SemanticArtefact,http://www.w3.org/ns/regorg#RegisteredOrganization,http://www.w3.org/ns/org#FormalOrganization,Linde Engineering
http://dbpedia.org/resource/Linde_plc,http://purl.org/holy/ns#ManufacturingOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://www.w3.org/2004/02/skos/core#altLabel,https://w3id.org/mod#SemanticArtefact,http://www.w3.org/ns/regorg#RegisteredOrganization,http://www.w3.org/ns/org#FormalOrganization,(NYSE:LIN)
http://dbpedia.org/resource/Linde_plc,http://purl.org/holy/ns#ManufacturingOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://www.w3.org/2004/02/skos/core#altLabel,https://w3id.org/mod#SemanticArtefact,http://www.w3.org/ns/regorg#RegisteredOrganization,http://www.w3.org/ns/org#FormalOrganization,(LIN)
http://fraunhofer.de/dataKoreaWesternPowerCompanyLimited,http://purl.org/holy/ns#EnergySectorOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://www.w3.org/2004/02/skos/core#altLabel,https://w3id.org/mod#SemanticArtefact,http://www.w3.org/ns/regorg#RegisteredOrganization,http://www.w3.org/ns/org#FormalOrganization,KOWEPO
http://dbpedia.org/resource/Federal_Ministry_of_Transport_and_Digital_Infrastructure,http://purl.org/holy/ns#PublicAdministrationAndDefenseOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://www.w3.org/2004/02/skos/core#altLabel,https://w3id.org/mod#SemanticArtefact,http://www.w3.org/ns/regorg#RegisteredOrganization,http://www.w3.org/ns/org#FormalOrganization,BMVI
http://dbpedia.org/resource/Federal_Ministry_of_Transport_and_Digital_Infrastructure,http://purl.org/holy/ns#PublicAdministrationAndDefenseOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://www.w3.org/2004/02/skos/core#altLabel,https://w3id.org/mod#SemanticArtefact,http://www.w3.org/ns/regorg#RegisteredOrganization,http://www.w3.org/ns/org#FormalOrganization,Federal Ministry of Transport and Digital Infrastructure Bundesministerium für Verkehr und digitale Infrastruktur (BMVI)
http://dbpedia.org/resource/Federal_Railway_Authority,http://purl.org/holy/ns#PublicAdministrationAndDefenseOrganization,http://xmlns.com/foaf/0.1/Organization,http://xmlns.com/foaf/0.1/Document,http://www.w3.org/2004/02/skos/core#altLabel,https://w3id.org/mod#SemanticArtefact,http://www.w3.org/ns/regorg#RegisteredOrganization,http://www.w3.org/ns/org#FormalOrganization,Eisenbahn-Bundesamt Federal Railway Authority
