a0,C0,C3,C1,p0,C2,a1
http://dbpedia.org/resource/Grevena_(regional_unit),http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,"24620, 24920"
http://dbpedia.org/resource/Trikala_(regional_unit),http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,243x0
http://dbpedia.org/resource/Thesprotia,http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,266x0
http://dbpedia.org/resource/Rethymno_(regional_unit),http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,283x0
http://dbpedia.org/resource/Argolis,http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,275x0
http://dbpedia.org/resource/Berhampur,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,0680
http://dbpedia.org/resource/Edappally,http://dbpedia.org/ontology/Writer,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Person,91 (0)484
http://dbpedia.org/resource/Boeotia,http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,226x0
http://dbpedia.org/resource/Lefkada_(regional_unit),http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,26450
http://dbpedia.org/resource/Phocis,http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,"226x0, 26340"
http://dbpedia.org/resource/Kastoria_(regional_unit),http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,24670
http://dbpedia.org/resource/Pella_(regional_unit),http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,238x0
http://dbpedia.org/resource/Kozani_(regional_unit),http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,246x0
http://dbpedia.org/resource/West_Attica,http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,"210, 229x0"
http://dbpedia.org/resource/Evros_(regional_unit),http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,255x0
http://dbpedia.org/resource/Alexander_Creek_Alaska,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,907
http://dbpedia.org/resource/Kavala_(regional_unit),http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,"2510, 259x0"
http://dbpedia.org/resource/Strathcona_Vancouver,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,"604,778"
http://dbpedia.org/resource/East_Attica,http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,"210, 229x0"
http://dbpedia.org/resource/Florina_(regional_unit),http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,"238x0, 246x0"
http://dbpedia.org/resource/Elis_(regional_unit),http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,262x0
http://dbpedia.org/resource/Serres_(regional_unit),http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,232x0
http://dbpedia.org/resource/Phthiotis,http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,223x0
http://dbpedia.org/resource/Glynde_and_Beddingham,http://dbpedia.org/ontology/PoliticalParty,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,01273
http://dbpedia.org/resource/Venetian_Islands_Florida,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,"305, 786"
http://dbpedia.org/resource/Sultangazi,http://dbpedia.org/ontology/Non-ProfitOrganisation,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,0-212
http://dbpedia.org/resource/Chitrakoot_Colony,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,0141
http://dbpedia.org/resource/Downtown_Harrisburg_Pennsylvania,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,Area code 717
http://dbpedia.org/resource/Dubai_International_City,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,+971and4
http://dbpedia.org/resource/Drama_(regional_unit),http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,252x0
http://dbpedia.org/resource/Colville_Lake_Northwest_Territories,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,867
http://dbpedia.org/resource/Columbus-Auburn-Opelika_GA-AL_CSA,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,"706, 762, 334"
http://dbpedia.org/resource/Hooper's_Island,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,410
http://dbpedia.org/resource/Mentawai_Islands_Regency,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,+62 759
http://dbpedia.org/resource/Los_Alcázares,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,+34(Spain) + 968 (Murcia)
http://dbpedia.org/resource/Kavandapadi,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,04256
http://dbpedia.org/resource/Port_of_Cleveland,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/areaCode,http://dbpedia.org/ontology/Organisation,+1 216
http://dbpedia.org/resource/Washington_Navy_Yard,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/governingBody,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/United_States_Department_of_the_Navy
http://dbpedia.org/resource/Battery_Chamberlin,http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/governingBody,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/National_Park_Service
http://dbpedia.org/resource/Allegheny_Portage_Railroad,http://dbpedia.org/ontology/PublicTransitSystem,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/governingBody,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/National_Park_Service
http://dbpedia.org/resource/Beaverhead_Rock,http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/governingBody,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Bureau_of_Land_Management
http://dbpedia.org/resource/Eastern_Region_Nigeria,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/governingBody,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Eastern_Nigerian_Government
http://dbpedia.org/resource/Fort_Nisqually,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/governingBody,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/The_Archaeological_Conservancy
http://dbpedia.org/resource/Fort_Nisqually,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/governingBody,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Metro_Parks_Tacoma
http://dbpedia.org/resource/Soldiers'_Home_Reef,http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/governingBody,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/United_States_Department_of_Veterans_Affairs
http://dbpedia.org/resource/Memorial_Building_(Topeka_Kansas),http://dbpedia.org/ontology/MilitaryUnit,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/governingBody,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Kansas_Legislature
http://dbpedia.org/resource/Rand_Ranger_Station,http://dbpedia.org/ontology/GovernmentAgency,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/governingBody,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/Bureau_of_Land_Management
http://dbpedia.org/resource/O'Brien_General_Store_and_Post_Office,http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/governingBody,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/U.S._Postal_Service
http://dbpedia.org/resource/United_States_Post_Office_(Missoula_Montana),http://dbpedia.org/ontology/Company,http://dbpedia.org/ontology/Agent,http://dbpedia.org/ontology/Place,http://dbpedia.org/ontology/governingBody,http://dbpedia.org/ontology/Organisation,http://dbpedia.org/resource/General_Services_Administration
http://dbpedia.org/resource/Josh_Lewsey,http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/SocietalEvent,180.0
http://dbpedia.org/resource/Kiatiyot_Chalarmkhet,http://dbpedia.org/ontology/Election,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/SocietalEvent,163.0
http://dbpedia.org/resource/Franco_Causio,http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/SocietalEvent,170.0
http://dbpedia.org/resource/Jim_Challinor,http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/SocietalEvent,182.88
http://dbpedia.org/resource/Marcos_Roberto_Silveira_Reis,http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/SocietalEvent,193.0
http://dbpedia.org/resource/Andrew_Harris_(tennis),http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/SocietalEvent,0.0
http://dbpedia.org/resource/Albert_Naughton,http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/SocietalEvent,182.88
http://dbpedia.org/resource/Rob_Kaman,http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/SocietalEvent,185.0
http://dbpedia.org/resource/Brett_Sturgess,http://dbpedia.org/ontology/Election,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/SocietalEvent,188.0
http://dbpedia.org/resource/Derek_Turner,http://dbpedia.org/ontology/SportsEvent,http://dbpedia.org/ontology/Event,http://dbpedia.org/ontology/Person,http://dbpedia.org/ontology/Person/height,http://dbpedia.org/ontology/SocietalEvent,182.88
